SKU,Produto,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Estampa, Preço,Imagem para encontrar,Link da Imagem
01.P00003,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Administador(a) de Empresas," R$  34,90 ",,
01.P00035,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Administador(a) de Empresas," R$  39,90 ",,
01.P00070,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Administador(a) de Empresas," R$  34,90 ",,
01.P00123,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Administador(a) de Empresas," R$  34,90 ",,
01.P00154,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Administador(a) de Empresas," R$  34,90 ",,
01.P00185,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Administador(a) de Empresas," R$  34,90 ",,
03.P00002,Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml,Com Caricatura,Aluminio,600ml,Administador(a) de Empresas," R$  59,90 ",,
01.P00114,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Administrador(a)," R$  39,90 ",,
01.P00004,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Advogado," R$  34,90 ",,
01.P00036,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Advogado," R$  39,90 ",,
01.P00071,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Advogado," R$  34,90 ",,
01.P00155,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Advogado," R$  34,90 ",,
01.P00186,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Advogado," R$  34,90 ",,
03.P00003,Squeeze,Personalizada,Squeeze Branca 2 Bicos 600ml,Com Caricatura,Aluminio,600ml,Advogado," R$  59,90 ",,
01.P00224,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Advogados," R$  39,90 ",,
01.P00125,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Agronomia," R$  34,90 ",,
01.P00073,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Arquiteto(a)," R$  34,90 ",,
01.P00126,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Arquiteto(a)," R$  34,90 ",,
01.P00111,Caneca,Personalizada,Caneca Branca 325ml,Com Avatar,Porcelana,325ml,Basquete," R$  39,90 ",,
01.P00008,Caneca,Personalizada,Caneca Branca 325ml,Com Caricatura,Porcelana,325ml,Biomedico(a)," R$  34,90 ",,
