Produto,Variação 1,Variação 2, Preço,Variação 4,SKU,Pronto,Estampa,RDX,Material,Tamanho/Medidas,Nome Pasta,Link Artes,Imagem para encontrar,Link da Imagem,Imagem Encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00001,ok,Personalizacoes Diversas,Sim,Porcelana,325ml,catura,P00001,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00003,ok,Administador(a) de Empresas,Sim,Porcelana,325ml,catura,P00003,],,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00004,ok,Advogado,Sim,Porcelana,325ml,catura,P00004,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00008,ok,Biomedico(a),Sim,Porcelana,325ml,catura,P00008,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00011,ok,Dentista,Sim,Porcelana,325ml,catura,P00011,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00014,ok,Educacao Fisica,Sim,Porcelana,325ml,catura,P00014,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00015,ok,Enfermeiro(a),Sim,Porcelana,325ml,catura,P00015,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00016,ok,Engenheiro(a),Sim,Porcelana,325ml,catura,P00016,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00019,ok,Fisioterapeuta,Sim,Porcelana,325ml,catura,P00019,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00020,ok,Fonoaudiologo(a),Sim,Porcelana,325ml,catura,P00020,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00023,ok,Medico(a),Sim,Porcelana,325ml,catura,P00023,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00024,ok,Nutricionista,Sim,Porcelana,325ml,catura,P00024,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00027,ok,Professor(a),Sim,Porcelana,325ml,catura,P00027,,,Pasta não encontrada
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",Com Caricatura,01.P00029,ok,Psicologo(a),Sim,Porcelana,325ml,catura,P00029,,,Pasta não encontrada
