Produto,Variação 1,Variação 2,Preço,SKU,Estampa,Material,Tamanho/Medidas,Título,Descrição,Link da Imagem
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00001,Personalizacoes Diversas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00001/01 - Caneca Personalizada Com Caricatura Envio Rápido 325ml (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00003,Administador(a) de Empresas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00003/Administração 01 (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00004,Advogado,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00004/Direito 01 (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00008,Biomedico(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00008/Biomedicina 01 (4).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00011,Dentista,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00011/Odontologia 01 (6).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00014,Educacao Fisica,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00014/Educação Física 01 (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00015,Enfermeiro(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00015/Tecnico em Efermagem 01 (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00016,Engenheiro(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00016/Engenharia Cívil MASC 01 (3)~1.jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00019,Fisioterapeuta,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00019/Fisioterapia 01 (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00020,Fonoaudiologo(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00020/Fonoaudiologia 01 (4).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00023,Medico(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00023/Medicina 01 (4).jpg?raw=true
