Curso,Link,Area
Informática kids,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/INFORM%C3%81TICA_KIDS/000002.jpg?raw=true,Profissionalizante
Gestão empresarial,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/GEST%C3%83O_EMPRESARIAL/000005.jpg?raw=true,Profissionalizante
Programador full (web+mobile),https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/PROGRAMADOR_FULL_%28WEB%2BMOBILE%29/000003.png?raw=true,Profissionalizante
Estética e beleza profissional,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/EST%C3%89TICA_E_BELEZA_PROFISSIONAL/000002.jpg?raw=true,Profissionalizante
Informática profissional + programador de jogos,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/INFORM%C3%81TICA_PROFISSIONAL_%2B_PROGRAMADOR_DE_JOGOS/000004.jpg?raw=true,Profissionalizante
Criação e edição de vídeo,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/CRIA%C3%87%C3%83O_E_EDI%C3%87%C3%83O_DE_V%C3%8DDEO/000004.jpg?raw=true,Profissionalizante
Assistente contábil,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/ASSISTENTE_CONT%C3%81BIL/000002.png?raw=true,Profissionalizante
Libras,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/LIBRAS/000004.png?raw=true,Profissionalizante
Programador de games,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/PROGRAMADOR_DE_GAMES/000001.jpg?raw=true,Profissionalizante
Designer gráfico,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/DESIGNER_GR%C3%81FICO/000002.jpg?raw=true,Profissionalizante
0 - assistente de design de interiores,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/0%20-%20ASSISTENTE_DE_DESIGN_DE_INTERIORES/1.jpg?raw=true,Profissionalizante
Jovem aprendiz,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/JOVEM_APRENDIZ/000003.jpg?raw=true,Profissionalizante
Jovem empreendedor,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/JOVEM_EMPREENDEDOR/000001.jpg?raw=true,Profissionalizante
Informática	profissional,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/INFORM%C3%81TICA%09PROFISSIONAL/000001.jpg?raw=true,Profissionalizante
Atendente de farmácia (com prática na farmácia),https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/ATENDENTE_DE_FARM%C3%81CIA_%28Com_pr%C3%A1tica_na_farm%C3%A1cia%29/000004.jpg?raw=true,Profissionalizante
Assistente administrativo,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/ASSISTENTE_ADMINISTRATIVO/000002.jpg?raw=true,Profissionalizante
0 - futuro digital com ia,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/0%20-%20FUTURO_DIGITAL_COM_IA/a.jpeg?raw=true,Profissionalizante
Necropsia + tanatopraxia,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/Necropsia_%2B_Tanatopraxia/000001.jpg?raw=true,Profissionalizante
Projetista digital,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/PROJETISTA_DIGITAL/000001.png?raw=true,Profissionalizante
Eletricista predial + nr10,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/ELETRICISTA_PREDIAL_%2B_NR10/000003.jpg?raw=true,Profissionalizante
Gestão comercial,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/GEST%C3%83O_COMERCIAL/000002.jpg?raw=true,Profissionalizante
Assistente de logística,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/ASSISTENTE_DE_LOG%C3%8DSTICA/000003.jpg?raw=true,Profissionalizante
Assistente de marketing,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/ASSISTENTE_DE_MARKETING/000001.jpg?raw=true,Profissionalizante
Marketing digital,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/MARKETING_DIGITAL/000004.jpg?raw=true,Profissionalizante
Agente de turismo,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/AGENTE_DE_TURISMO/000001.png?raw=true,Profissionalizante
Inglês,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/INGL%C3%8AS/000005.png?raw=true,Profissionalizante
Assistente de recursos humanos,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/ASSISTENTE_DE_RECURSOS_HUMANOS/000005.jpg?raw=true,Profissionalizante
Inglês + informática profitécnico em eletrotécnica,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/INGL%C3%8AS_%2B_INFORM%C3%81TICA_PROFIT%C3%89CNICO_EM_ELETROT%C3%89CNICA/000003.png?raw=true,Profissionalizante
Programador profissional,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/PROGRAMADOR_PROFISSIONAL/000001.jpg?raw=true,Profissionalizante
Web designer,https://github.com/Lucas-Henrique-Lopes-Costa/importar-wordpress/blob/main/cvm/WEB_DESIGNER/000004.jpg?raw=true,Profissionalizante
