franchise-name,franchise-photo,google-maps-link,type
pigg gold,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/pigg%20gold.png?raw=true,,pp
sugar supremo,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/sugar%20supremo.png?raw=true,,pp
big bass float,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20float.png?raw=true,,pp
the dog house dice show,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/the%20dog%20house%20dice%20show.png?raw=true,,pp
traken,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/traken.png?raw=true,,pp
vampy party,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vampy%20party.png?raw=true,,pp
sugar rush 1000,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/sugar%20rush%201000.png?raw=true,,pp
sugar rush,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/sugar%20rush.png?raw=true,,pp
sweet bonanza xmas,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/sweet%20bonanza%20xmas.png?raw=true,,pp
big bass secrets,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20secrets.png?raw=true,,pp
crrank it up,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/crrank%20it%20up.png?raw=true,,pp
big bass hold,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20hold.png?raw=true,,pp
big bass bash,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20bash.png?raw=true,,pp
bigger bass blizzard,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/bigger%20bass%20blizzard.png?raw=true,,pp
big bass reel action,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20reel%20action.png?raw=true,,pp
sweet power,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/sweet%20power.png?raw=true,,pp
hand of the midas,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/hand%20of%20the%20midas.png?raw=true,,pp
gates of,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/gates%20of.png?raw=true,,pp
burst,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/burst.png?raw=true,,pp
big bass splach,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20splach.png?raw=true,,pp
sweet dice,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/sweet%20dice.png?raw=true,,pp
sweet bonanza,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/sweet%20bonanza.png?raw=true,,pp
wins,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/wins.png?raw=true,,pp
sugar rush dice,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/sugar%20rush%20dice.png?raw=true,,pp
big bass hallo,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20hallo.png?raw=true,,pp
midas 2,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/midas%202.png?raw=true,,pp
fortune gods,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/fortune%20gods.png?raw=true,,pp
big bass amazon,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20amazon.png?raw=true,,pp
big bass keeping,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20keeping.png?raw=true,,pp
sumo supremo,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/sumo%20supremo.png?raw=true,,pp
big bass cash,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20cash.png?raw=true,,pp
the dog house multihold,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/the%20dog%20house%20multihold.png?raw=true,,pp
starlight princess pachi,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/starlight%20princess%20pachi.png?raw=true,,pp
wild west gold mega,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/wild%20west%20gold%20mega.png?raw=true,,pp
cash patrol,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cash%20patrol.png?raw=true,,pp
big bass megaways,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20megaways.png?raw=true,,pp
tigre sortudo,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/tigre%20sortudo.png?raw=true,,pp
starlight princess 1000,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/starlight%20princess%201000.png?raw=true,,pp
angel vs sinner,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/angel%20vs%20sinner.png?raw=true,,pp
big bass day at,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20day%20at.png?raw=true,,pp
sweet bonanza 1000,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/sweet%20bonanza%201000.png?raw=true,,pp
sweet kingdom,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/sweet%20kingdom.png?raw=true,,pp
sugar rush xmas,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/sugar%20rush%20xmas.png?raw=true,,pp
big bass vegas,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20vegas.png?raw=true,,pp
gold party,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/gold%20party.png?raw=true,,pp
3 buzzing,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/3%20buzzing.png?raw=true,,pp
big bass hallowen 2,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20hallowen%202.png?raw=true,,pp
the dog house megaways,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/the%20dog%20house%20megaways.png?raw=true,,pp
wild west gold,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/wild%20west%20gold.png?raw=true,,pp
starling princess,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/starling%20princess.png?raw=true,,pp
thedog,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/thedog.png?raw=true,,pp
the dog house,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/the%20dog%20house.png?raw=true,,pp
big bass finish,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/big%20bass%20finish.png?raw=true,,pp
