nome-da-franquia,foto-da-franquia,link-google-maps,tipo
pigg gold,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/pigg-gold.png,,pp
sugar supremo,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/sugar-supremo.png,,pp
big bass float,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-float.png,,pp
the dog house dice show,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/the-dog-house-dice-show.png,,pp
traken,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/traken.png,,pp
vampy party,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/vampy-party.png,,pp
sugar rush 1000,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/sugar-rush-1000.png,,pp
sugar rush,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/sugar-rush.png,,pp
sweet bonanza xmas,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/sweet-bonanza-xmas.png,,pp
big bass secrets,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-secrets.png,,pp
crrank it up,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/crrank-it-up.png,,pp
big bass hold,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-hold.png,,pp
big bass bash,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-bash.png,,pp
bigger bass blizzard,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/bigger-bass-blizzard.png,,pp
big bass reel action,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-reel-action.png,,pp
sweet power,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/sweet-power.png,,pp
hand of the midas,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/hand-of-the-midas.png,,pp
gates of,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/gates-of.png,,pp
burst,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/burst.png,,pp
big bass splach,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-splach.png,,pp
sweet dice,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/sweet-dice.png,,pp
sweet bonanza,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/sweet-bonanza.png,,pp
wins,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/wins.png,,pp
sugar rush dice,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/sugar-rush-dice.png,,pp
big bass hallo,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-hallo.png,,pp
midas 2,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/midas-2.png,,pp
fortune gods,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/fortune-gods.png,,pp
big bass amazon,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-amazon.png,,pp
big bass keeping,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-keeping.png,,pp
sumo supremo,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/sumo-supremo.png,,pp
big bass cash,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-cash.png,,pp
the dog house multihold,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/the-dog-house-multihold.png,,pp
starlight princess pachi,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/starlight-princess-pachi.png,,pp
wild west gold mega,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/wild-west-gold-mega.png,,pp
cash patrol,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/cash-patrol.png,,pp
big bass megaways,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-megaways.png,,pp
tigre sortudo,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/tigre-sortudo.png,,pp
starlight princess 1000,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/starlight-princess-1000.png,,pp
angel vs sinner,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/angel-vs-sinner.png,,pp
big bass day at,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-day-at.png,,pp
sweet bonanza 1000,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/sweet-bonanza-1000.png,,pp
sweet kingdom,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/sweet-kingdom.png,,pp
sugar rush xmas,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/sugar-rush-xmas.png,,pp
big bass vegas,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-vegas.png,,pp
gold party,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/gold-party.png,,pp
3 buzzing,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/3-buzzing.png,,pp
big bass hallowen 2,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-hallowen-2.png,,pp
the dog house megaways,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/the-dog-house-megaways.png,,pp
wild west gold,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/wild-west-gold.png,,pp
starling princess,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/starling-princess.png,,pp
thedog,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/thedog.png,,pp
the dog house,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/the-dog-house.png,,pp
big bass finish,https://vidadeslots.secretogrupo.com/wp-content/uploads/2024/11/big-bass-finish.png,,pp
