nome-da-franquia,foto-da-franquia,link-google-maps,tipo
majestic express gold run,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/majestic%20express%20gold%20run.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
temple guardians,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/temple%20guardians.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
lucky tiger 1000,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/lucky%20tiger%201000.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
finger lickn free 1,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/finger%20lickn%20free%201.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
plushie wins,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/plushie%20wins.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
jumbo safari,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/jumbo%20safari.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
gates of hades,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/gates%20of%20hades.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
pig farm 1,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/pig%20farm%201.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
Wild West Gold Blazing Bounty,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/Wild%20West%20Gold%20Blazing%20Bounty.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
mummys jewels,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/mummys%20jewels.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
mahjong wins super scater,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/mahjong%20wins%20super%20scater.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
big bass boxing,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/big%20bass%20boxing.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
eye of spartagus,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/eye%20of%20spartagus.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
lucky phoenix,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pp/lucky%20phoenix.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pp
jack,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/pg/jack.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,pg
super maquina,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/super%20maquina.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
margem da agua,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/margem%20da%20agua.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
treasure mimo,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/treasure%20mimo.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
samba dance,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/samba%20dance.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
tucano,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/tucano.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
wg festa dos doces,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/wg%20festa%20dos%20doces.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
lucky dog,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/lucky%20dog.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
pirates treasure,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/pirates%20treasure.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
dragon vx tiger,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/dragon%20vx%20tiger.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
animal kingdom,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/animal%20kingdom.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
the vault,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/the%20vault.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
fishing master,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/fishing%20master.jpg?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
word copa,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/word%20copa.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
dragon  treasure,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/dragon%20%20treasure.jpg?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
leopardo,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/leopardo.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
black myth,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/black%20myth.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
treasure browl,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/treasure%20browl.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
caça ao tesouro,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/ca%C3%A7a%20ao%20tesouro.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
festival of the saints,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/festival%20of%20the%20saints.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
mr turte,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/vidadeslots/images/wg/mr%20turte.png?raw=true,https://maxima.bet.br/affiliates/?btag=2335200_l358149,wg
